WARNING 2019-06-13 14:47:04,166 basehttp 154 "GET /static/images/wechat2.jpg HTTP/1.1" 404 1685
INFO 2019-06-13 14:47:05,337 basehttp 154 "GET / HTTP/1.1" 200 17069
WARNING 2019-06-13 14:47:05,354 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:05,358 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:47:05,411 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:47:05,419 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:47:05,424 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:05,425 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:47:05,432 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:05,444 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:47:05,449 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:47:05,456 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:47:05,482 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:47:05,493 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:47:05,502 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:47:05,506 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:05,507 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
INFO 2019-06-13 14:50:41,331 basehttp 154 "GET / HTTP/1.1" 200 17067
WARNING 2019-06-13 14:50:41,458 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:50:41,458 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
INFO 2019-06-13 14:50:41,483 basehttp 154 "GET /static/css/base/side.css HTTP/1.1" 304 0
